,Id,Nome,EsportePai
457,457,Sailing Mixed Two Person Keelboat,Sailing
458,458,Sailing Mixed Windsurfer,Sailing
459,459,Sailing Women's One Person Dinghy,Sailing
460,460,Sailing Women's Skiff,Sailing
461,461,Sailing Women's Three Person Keelboat,Sailing
462,462,Sailing Women's Two Person Dinghy,Sailing
463,463,Sailing Women's Windsurfer,Sailing
464,464,Shooting,-
465,465,"Shooting Men's Air Pistol, 10 metres",Shooting
466,466,"Shooting Men's Air Rifle, 10 metres",Shooting
467,467,Shooting Men's Double Trap,Shooting
468,468,"Shooting Men's Dueling Pistol Au Commandement, 25 metres",Shooting
469,469,Shooting Men's Dueling Pistol Au Vise 20 metres,Shooting
470,470,"Shooting Men's Dueling Pistol, 30 metres",Shooting
471,471,"Shooting Men's Dueling Pistol, 30 metres, Team",Shooting
472,472,"Shooting Men's Free Pistol, 25 metres",Shooting
473,473,"Shooting Men's Free Pistol, 30 metres",Shooting
474,474,"Shooting Men's Free Pistol, 50 metres",Shooting
475,475,"Shooting Men's Free Pistol, 50 metres, Team",Shooting
476,476,"Shooting Men's Free Pistol, 50 yards",Shooting
477,477,"Shooting Men's Free Pistol, 50 yards, Team",Shooting
478,478,"Shooting Men's Free Rifle, 1,000 Yards",Shooting
479,479,"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",Shooting
480,480,"Shooting Men's Free Rifle, Any Position, 300 metres",Shooting
481,481,"Shooting Men's Free Rifle, Kneeling, 300 metres",Shooting
482,482,"Shooting Men's Free Rifle, Prone, 300 metres",Shooting
483,483,"Shooting Men's Free Rifle, Prone, 600 metres",Shooting
484,484,"Shooting Men's Free Rifle, Standing, 300 metres",Shooting
485,485,"Shooting Men's Free Rifle, Three Positions, 300 metres",Shooting
486,486,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Shooting
487,487,"Shooting Men's Military Pistol, 25 metres",Shooting
488,488,"Shooting Men's Military Pistol, 30 metres",Shooting
489,489,"Shooting Men's Military Pistol, Team",Shooting
490,490,"Shooting Men's Military Revolver, 1873-1874 Gras Model, 20 metres",Shooting
491,491,"Shooting Men's Military Revolver, 20 metres",Shooting
492,492,"Shooting Men's Military Rifle, 1873-1874 Gras Model, Kneeling Or Standing, 200 metres",Shooting
493,493,"Shooting Men's Military Rifle, 200 metres",Shooting
494,494,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",Shooting
495,495,"Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team",Shooting
496,496,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",Shooting
497,497,"Shooting Men's Military Rifle, Any Position, 600 metres",Shooting
498,498,"Shooting Men's Military Rifle, Kneeling Or Standing, 300 metres",Shooting
499,499,"Shooting Men's Military Rifle, Prone, 300 metres",Shooting
500,500,"Shooting Men's Military Rifle, Prone, 300 metres, Team",Shooting
501,501,"Shooting Men's Military Rifle, Prone, 600 metres",Shooting
502,502,"Shooting Men's Military Rifle, Prone, 600 metres, Team",Shooting
503,503,"Shooting Men's Military Rifle, Standing, 300 metres",Shooting
504,504,"Shooting Men's Military Rifle, Standing, 300 metres, Team",Shooting
505,505,"Shooting Men's Military Rifle, Three Positions, 300 metres",Shooting
506,506,"Shooting Men's Muzzle-Loading Pistol, 25 metres",Shooting
507,507,"Shooting Men's Rapid-Fire Pistol, 25 metres",Shooting
508,508,"Shooting Men's Running Target, 10 metres",Shooting
509,509,"Shooting Men's Running Target, 50 metres",Shooting
510,510,"Shooting Men's Running Target, Double Shot",Shooting
511,511,"Shooting Men's Running Target, Double Shot, Team",Shooting
512,512,"Shooting Men's Running Target, Single And Double Shot",Shooting
513,513,"Shooting Men's Running Target, Single Shot",Shooting
514,514,"Shooting Men's Running Target, Single Shot, Team",Shooting
515,515,Shooting Men's Skeet,Shooting
516,516,"Shooting Men's Small Bore-Rifle, Standing, 50 metres, Team",Shooting
